pig_id,date,day,month,year,location,method,type,habitat,drugged,drug_administered,reversal_administered,collar_id,Collar Frequency,ear_tag_L_color,ear_tag_L_number,ear_tag_R_color,ear_tag_R_number,vhf_eartag_ear,vhf_eartag_freq,age_class,nursing/pregnant,current/past,est_weight,hair_taken,blood,
FJ11,4/15/2022,15,4,2022,TA22,Jager,initial,Riparian,no,NA,NA,NA,,NA,NA,yellow,1612,no,NA,J,NA,NA,20,N,N,
FJ12,4/15/2022,15,4,2022,TA22,Jager,initial,Riparian,no,NA,NA,NA,,NA,NA,yellow,1614,no,NA,J,NA,NA,20,N,N,
MJ17,4/15/2022,15,4,2022,TA22,Jager,initial,Riparian,no,NA,NA,NA,,NA,NA,yellow,1439,no,NA,J,NA,NA,20,N,N,
MJ18,4/15/2022,15,4,2022,TA22,Jager,initial,Riparian,no,NA,NA,NA,,NA,NA,yellow,1621,no,NA,J,NA,NA,20,N,N,
FJ13,4/15/2022,15,4,2022,TA22,Jager,initial,Riparian,no,NA,NA,NA,,NA,NA,yellow,1619,no,NA,J,NA,NA,20,N,N,
FJ14,4/15/2022,15,4,2022,TA22,Jager,initial,Riparian,no,NA,NA,NA,,NA,NA,yellow,1616,no,NA,J,NA,NA,20,N,N,
MJ19,1/26/2023,26,1,2023,stonyres,Corral,initial,Riparian,no,NA,NA,NA,,NA,NA,blue,1606,yes,163.2403,J,NA,NA,20,N,N,
MJ20,5/31/2023,31,5,2023,TA22,Corral,initial,Riparian,no,NA,NA,NA,NA,yellow,1423,yellow,1424,yes,163.4204,J,NA,NA,15,N,N,
MJ21,5/31/2023,31,5,2023,TA22,Corral,initial,Riparian,no,NA,NA,NA,NA,pink,1235,yellow,1312,yes,163.0975,J,NA,NA,15,N,N,
MJ22,5/31/2023,31,5,2023,TA22,Corral,initial,Riparian,no,NA,NA,NA,NA,yellow,1434,NA,NA,yes,163.1366,J,NA,NA,15,N,N,
FJ17,5/31/2023,31,5,2023,TA22,Corral,initial,Riparian,no,NA,NA,NA,NA,yellow,1433,NA,NA,yes,163.8183,J,N,NA,15,N,N,
FJ18,5/31/2023,31,5,2023,TA22,Corral,initial,Riparian,no,NA,NA,NA,NA,yellow,1428,NA,NA,yes,163.1981,J,N,NA,15,N,N,
FA01,1/26/2023,26,1,2023,stonyres,Corral,recapture,Riparian,no,NA,NA,20149,,NA,NA,NA,NA,no,NA,A,Y,past,250,N,N,removed old collar. Did not recollar
