No,CollarID,UTC_Date,UTC_Time,LMT_Date,LMT_Time,Origin,SCTS_Date,SCTS_Time,ECEF_X [m],ECEF_Y [m],ECEF_Z [m],Latitude [°],Longitude [°],Height [m],DOP,FixType,3D_Error [m],Sats,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Mort. Status,Activity,Main [V],Beacon [V],Temp [°C],Easting,Northing,AnimalID,GroupID
1413,33352,6/23/2023,21:00:38,6/23/2023,9:00:38 PM,Collar,8/3/2023,9:46:01 AM,-2685824,-4417822,3723088,35.9406217,-121.297596,389.4,1.4,val. GPS-3D,,7,26,29,29,41,10,35,15,50,23,35,18,44,13,32,0,0,0,0,0,0,0,0,0,0,,,3.36,3.6,35,10653555.65,3978701.779,N/A,N/A
1412,33352,6/23/2023,18:00:15,6/23/2023,6:00:15 PM,Collar,8/3/2023,9:46:01 AM,-2688294,-4413442,3726473,35.9783191,-121.3462235,387.82,1.6,val. GPS-3D,,5,28,29,11,47,12,38,25,47,20,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3.34,3.64,23,10649098.2,3982808.054,N/A,N/A
1411,33352,6/23/2023,15:00:38,6/23/2023,3:00:38 PM,Collar,8/3/2023,9:46:01 AM,-2682721,-4417274,3726010,35.9729415,-121.2713569,421.72,1.2,val. GPS-3D,,7,19,29,24,38,6,35,12,35,11,32,20,29,17,29,0,0,0,0,0,0,0,0,0,0,,,3.3,3.54,12,10655859.09,3982328.609,N/A,N/A
1410,33352,6/23/2023,12:00:37,6/23/2023,12:00:37 PM,Collar,8/3/2023,9:46:01 AM,-2682726,-4417278,3726011,35.972917,-121.2713813,427.17,1.6,val. GPS-3D,,7,13,41,14,35,30,29,7,29,17,32,19,29,15,38,0,0,0,0,0,0,0,0,0,0,,,3.3,3.54,9,10655856.94,3982325.848,N/A,N/A
1409,33352,6/23/2023,9:00:38,6/23/2023,9:00:38 AM,Collar,8/3/2023,9:46:01 AM,-2682726,-4417280,3726010,35.9729006,-121.2713698,427.97,1.4,val. GPS-3D,,7,7,35,20,32,30,35,14,38,9,35,4,29,8,29,0,0,0,0,0,0,0,0,0,0,,,3.3,3.52,9,10655858.01,3982324.053,N/A,N/A
1408,33352,6/23/2023,6:00:22,6/23/2023,6:00:22 AM,Collar,8/3/2023,9:46:01 AM,-2682751,-4417282,3726005,35.9727864,-121.2715952,436.92,1.6,val. GPS-3D,,6,16,35,6,32,1,35,3,32,4,29,9,29,0,0,0,0,0,0,0,0,0,0,0,0,,,3.32,3.6,10,10655837.91,3982311.024,N/A,N/A
1407,33352,6/23/2023,3:00:09,6/23/2023,3:00:09 AM,Collar,8/3/2023,9:46:01 AM,-2682726,-4417278,3725957,35.9725231,-121.2713813,395.45,1.6,val. GPS-3D,,7,32,29,4,35,3,29,28,38,21,29,1,32,2,35,0,0,0,0,0,0,0,0,0,0,,,3.34,3.5,15,10655857.72,3982282.16,N/A,N/A
1406,33352,6/23/2023,0:00:39,6/23/2023,12:00:39 AM,Collar,8/3/2023,9:46:01 AM,-2682733,-4417287,3726014,35.9728789,-121.2713958,438.1,1.6,val. GPS-3D,,6,27,32,10,41,18,29,8,32,32,32,28,29,0,0,0,0,0,0,0,0,0,0,0,0,,,3.34,3.58,23,10655855.71,3982321.601,N/A,N/A
1405,33352,6/22/2023,21:00:11,6/22/2023,9:00:11 PM,Collar,8/3/2023,9:46:01 AM,-2682752,-4417339,3726026,35.9726789,-121.2712766,489.1,1.4,val. GPS-3D,,7,10,29,18,35,15,35,16,35,29,29,26,32,25,32,0,0,0,0,0,0,0,0,0,0,,,3.34,3.6,23,10655866.85,3982299.61,N/A,N/A
1404,33352,6/22/2023,18:00:37,6/22/2023,6:00:37 PM,Collar,8/3/2023,9:46:01 AM,-2682720,-4417274,3726011,35.9729516,-121.2713474,421.89,1.4,val. GPS-3D,,7,18,38,28,29,20,32,11,35,29,35,25,35,5,32,0,0,0,0,0,0,0,0,0,0,,,3.3,3.6,16,10655859.92,3982329.738,N/A,N/A
1403,33352,6/22/2023,15:00:38,6/22/2023,3:00:38 PM,Collar,8/3/2023,9:46:01 AM,-2682721,-4417270,3726001,35.972894,-121.2713799,413.66,1.4,val. GPS-3D,,6,12,35,6,35,19,35,24,38,17,29,11,35,0,0,0,0,0,0,0,0,0,0,0,0,,,3.3,3.56,10,10655857.11,3982323.299,N/A,N/A
1402,33352,6/22/2023,12:00:37,6/22/2023,12:00:37 PM,Collar,8/3/2023,9:46:01 AM,-2682721,-4417278,3726010,35.9729234,-121.2713339,424.48,1.6,val. GPS-3D,,7,30,29,7,29,14,32,17,35,13,35,15,38,19,29,0,0,0,0,0,0,0,0,0,0,,,3.3,3.56,7,10655861.2,3982326.638,N/A,N/A
1401,33352,6/22/2023,9:00:38,6/22/2023,9:00:38 AM,Collar,8/3/2023,9:46:01 AM,-2682726,-4417278,3726010,35.9729097,-121.2713813,426.59,1.6,val. GPS-3D,,6,14,38,20,32,9,38,30,35,4,29,7,32,0,0,0,0,0,0,0,0,0,0,0,0,,,3.3,3.54,8,10655856.96,3982325.039,N/A,N/A
1400,33352,6/22/2023,6:00:21,6/22/2023,6:00:21 AM,Collar,8/3/2023,9:46:01 AM,-2682735,-4417276,3726018,35.9729523,-121.2714781,433.68,1.2,val. GPS-3D,,7,3,38,4,32,16,29,6,35,1,35,7,35,26,29,0,0,0,0,0,0,0,0,0,0,,,3.32,3.32,11,10655848.14,3982329.617,N/A,N/A
1399,33352,6/22/2023,3:00:38,6/22/2023,3:00:38 AM,Collar,8/3/2023,9:46:01 AM,-2682730,-4417289,3726016,35.9728927,-121.2713559,439.4,1.6,val. GPS-3D,,7,28,35,4,35,21,35,1,29,2,38,3,35,32,29,0,0,0,0,0,0,0,0,0,0,,,3.34,3.62,19,10655859.28,3982323.193,N/A,N/A
1398,33352,6/22/2023,0:00:38,6/22/2023,12:00:38 AM,Collar,8/3/2023,9:46:01 AM,-2682727,-4417290,3726026,35.9729693,-121.2713217,444.7,1.8,val. GPS-3D,,5,8,32,10,38,27,29,18,29,32,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3.34,3.62,28,10655862.21,3982331.751,N/A,N/A
