No,CollarID,UTC_Date,UTC_Time,LMT_Date,LMT_Time,Origin,SCTS_Date,SCTS_Time,ECEF_X [m],ECEF_Y [m],ECEF_Z [m],Latitude [°],Longitude [°],Height [m],DOP,FixType,3D_Error [m],Sats,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Mort. Status,Activity,Main [V],Beacon [V],Temp [°C],Easting,Northing,AnimalID,GroupID
5222,33356,11/26/2022,21:00:38,11/26/2022,9:00:38 PM,Collar,1/27/2023,4:32:16 PM,-2683954,-4419263,3722681,35.9362747,-121.271594,361.36,1,val. GPS-3D,,9,3,41,4,44,16,47,26,44,7,41,9,38,27,29,11,29,6,32,0,0,0,0,0,0,,,3.4,0.26,38,10655909.78,3978260.8,N/A,N/A
5221,33356,11/26/2022,18:00:11,11/26/2022,6:00:11 PM,Collar,1/27/2023,4:32:16 PM,-2684347,-4419045,3722648,35.9359403,-121.2765703,356.33,1.4,val. GPS-3D,,7,21,41,22,41,25,38,31,38,32,38,26,29,1,44,0,0,0,0,0,0,0,0,0,0,,,3.4,0.12,32,10655461.51,3978215.768,N/A,N/A
5220,33356,11/26/2022,15:00:38,11/26/2022,3:00:38 PM,Collar,1/27/2023,4:32:16 PM,-2684368,-4418951,3722748,35.9370373,-121.27731,358.79,1,val. GPS-3D,,10,31,41,18,41,10,35,32,44,22,35,24,29,8,32,27,35,21,32,23,29,0,0,0,0,,,3.42,0.22,17,10655392.63,3978336.27,N/A,N/A
5219,33356,11/26/2022,12:00:11,11/26/2022,12:00:11 PM,Collar,1/27/2023,4:32:16 PM,-2684379,-4418963,3722779,35.937179,-121.2773451,389.92,1.4,val. GPS-3D,,8,15,35,10,38,29,44,23,29,2,35,26,29,13,29,18,29,0,0,0,0,0,0,0,0,,,3.4,0.14,18,10655389.18,3978351.938,N/A,N/A
5218,33356,11/26/2022,9:00:38,11/26/2022,9:00:38 AM,Collar,1/27/2023,4:32:16 PM,-2684263,-4419078,3722672,35.9361969,-121.2755849,357.94,1.2,val. GPS-3D,,10,20,41,31,44,12,35,18,44,25,44,26,44,29,47,11,38,2,47,5,38,0,0,0,0,,,3.36,0.12,18,10655549.9,3978245.803,N/A,N/A
5217,33356,11/26/2022,6:00:29,11/26/2022,6:00:29 AM,Collar,1/27/2023,4:32:16 PM,-2684129,-4419135,3722628,35.9359862,-121.2739878,315.23,1.4,val. GPS-3D,,6,6,38,25,38,20,38,11,47,19,29,12,38,0,0,0,0,0,0,0,0,0,0,0,0,,,3.36,0.12,19,10655694.39,3978224.967,N/A,N/A
5216,33356,11/26/2022,3:00:11,11/26/2022,3:00:11 AM,Collar,1/27/2023,4:32:16 PM,-2680990,-4421937,3721665,35.9249031,-121.2281452,371.17,1.4,val. GPS-3D,,8,6,32,19,44,13,47,15,44,17,44,30,35,14,38,7,29,0,0,0,0,0,0,0,0,,,3.38,0.14,23,10659852.33,3977069.628,N/A,N/A
5215,33356,11/26/2022,0:00:34,11/26/2022,12:00:34 AM,Collar,1/27/2023,4:32:16 PM,-2678690,-4423823,3721239,35.9195675,-121.1955229,462.29,1.2,val. GPS-3D,,9,9,44,5,35,7,44,8,44,20,29,14,38,27,32,30,47,13,29,0,0,0,0,0,0,,,3.36,0.28,30,10662806.68,3976531.665,N/A,N/A
5214,33356,11/25/2022,21:00:38,11/25/2022,9:00:38 PM,Collar,1/27/2023,4:32:16 PM,-2678694,-4423834,3721244,35.9195433,-121.1954977,474.52,1.4,val. GPS-3D,,7,4,32,16,35,7,38,3,29,9,44,26,29,6,29,0,0,0,0,0,0,0,0,0,0,,,3.36,0.26,32,10662809,3976529.022,N/A,N/A
5213,33356,11/25/2022,18:00:38,11/25/2022,6:00:38 PM,Collar,1/27/2023,4:32:16 PM,-2678687,-4423830,3721239,35.919544,-121.1954543,465.88,1.2,val. GPS-3D,,9,21,44,22,41,3,41,1,44,31,44,4,38,26,29,32,38,25,29,0,0,0,0,0,0,,,3.36,0.24,28,10662812.92,3976529.179,N/A,N/A
5212,33356,11/25/2022,16:32:09,11/25/2022,4:32:09 PM,Collar,1/27/2023,4:32:16 PM,-2679741,-4423303,3720987,35.9172012,-121.2084669,395.2,1.2,val. GPS-3D,,9,8,35,10,41,22,44,31,44,21,47,32,47,3,41,27,35,1,44,0,0,0,0,0,0,,,3.36,0.14,26,10661643.52,3976247.669,N/A,N/A
5211,33356,11/25/2022,16:02:03,11/25/2022,4:02:03 PM,Collar,1/27/2023,4:32:16 PM,-2680098,-4423312,3720709,35.9141536,-121.2117979,388.18,1.2,val. GPS-3D,,9,1,41,8,38,10,38,22,41,21,44,23,41,32,41,3,35,27,38,0,0,0,0,0,0,,,3.34,0.14,22,10661349.14,3975904.088,N/A,N/A
