No,CollarID,UTC_Date,UTC_Time,LMT_Date,LMT_Time,Origin,SCTS_Date,SCTS_Time,ECEF_X [m],ECEF_Y [m],ECEF_Z [m],Latitude [°],Longitude [°],Height [m],DOP,FixType,3D_Error [m],Sats,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Mort. Status,Activity,Main [V],Beacon [V],Temp [°C],Easting,Northing,AnimalID,GroupID
459,26215,5/8/2021,3:00:40,5/8/2021,3:00:40 AM,Collar,5/10/2021,5:05:06 PM,-2674223,-4424596,3723201,35.9426143,-121.1487387,276.95,1.8,val. GPS-3D,,9,13,41,15,44,18,41,20,44,23,41,27,41,10,38,29,29,16,32,0,0,0,0,0,0,Mortality no radius,0,3.32,3.64,19,10666979.69,3979167.319,N/A,N/A
458,26215,5/8/2021,0:00:39,5/8/2021,12:00:39 AM,Collar,5/10/2021,5:05:06 PM,-2674223,-4424593,3723198,35.942606,-121.1487559,273.11,2.2,val. GPS-3D,,7,29,44,20,35,5,38,2,41,26,32,25,32,18,32,0,0,0,0,0,0,0,0,0,0,Mortality no radius,0,3.38,3.64,42,10666978.16,3979166.368,N/A,N/A
457,26215,5/7/2021,21:00:09,5/7/2021,9:00:09 PM,Collar,5/10/2021,5:05:06 PM,-2674234,-4424578,3723204,35.9426876,-121.1489462,270.84,3.6,val. GPS-3D,,6,6,44,12,44,19,44,24,29,28,29,17,32,0,0,0,0,0,0,0,0,0,0,0,0,Mortality no radius,0,3.38,3.64,47,10666960.82,3979175.093,N/A,N/A
456,26215,5/7/2021,19:37:32,5/7/2021,7:37:32 PM,Collar,5/10/2021,5:05:06 PM,-2674220,-4424592,3723197,35.9426114,-121.1487332,270.57,8,val. GPS-3D,,5,17,44,28,38,14,32,13,29,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mortality no radius,0,3.38,3.64,45,10666980.2,3979167.011,N/A,N/A
455,26215,5/7/2021,19:07:27,5/7/2021,7:07:27 PM,Collar,5/10/2021,5:05:06 PM,-2674218,-4424590,3723198,35.9426333,-121.1487257,268.93,6.4,val. GPS-3D,,6,17,44,28,41,14,38,13,29,15,29,30,29,0,0,0,0,0,0,0,0,0,0,0,0,Mortality no radius,0,3.38,3.64,42,10666980.83,3979169.445,N/A,N/A
454,26215,5/7/2021,18:37:18,5/7/2021,6:37:18 PM,Collar,5/10/2021,5:05:06 PM,-2674224,-4424593,3723198,35.9426033,-121.1487654,273.53,2.6,val. GPS-3D,,6,14,41,17,44,28,44,13,29,15,29,1,35,0,0,0,0,0,0,0,0,0,0,0,0,Mortality no radius,0,3.36,3.64,41,10666977.31,3979166.049,N/A,N/A
453,26215,5/7/2021,18:07:17,5/7/2021,6:07:17 PM,Collar,5/10/2021,5:05:06 PM,-2674223,-4424596,3723196,35.9425778,-121.1487387,274.01,3.2,val. GPS-3D,,6,14,44,17,41,28,44,13,29,15,32,1,41,0,0,0,0,0,0,0,0,0,0,0,0,Mortality no radius,0,3.36,3.64,43,10666979.77,3979163.273,N/A,N/A
452,26215,5/7/2021,17:37:17,5/7/2021,5:37:17 PM,Collar,5/10/2021,5:05:06 PM,-2674223,-4424596,3723197,35.9425851,-121.1487387,274.6,1.2,val. GPS-3D,,9,1,38,14,44,28,41,17,38,13,35,30,29,15,38,21,35,7,29,0,0,0,0,0,0,Mortality no radius,0,3.36,3.64,40,10666979.75,3979164.082,N/A,N/A
451,26215,5/7/2021,17:07:15,5/7/2021,5:07:15 PM,Collar,5/10/2021,5:05:06 PM,-2674223,-4424595,3723198,35.9425969,-121.1487444,274.49,1.4,val. GPS-3D,,9,1,38,14,41,15,38,21,41,28,41,17,35,30,35,13,38,7,32,0,0,0,0,0,0,Mortality no radius,0,3.36,3.64,37,10666979.21,3979165.384,N/A,N/A
450,26215,5/7/2021,16:37:16,5/7/2021,4:37:16 PM,Collar,5/10/2021,5:05:06 PM,-2674224,-4424595,3723200,35.9426088,-121.1487539,276.08,1.8,val. GPS-3D,,9,14,41,28,41,30,38,17,35,13,41,7,32,15,38,1,38,21,35,0,0,0,0,0,0,Mortality no radius,0,3.36,3.64,33,10666978.33,3979166.683,N/A,N/A
