No,CollarID,UTC_Date,UTC_Time,LMT_Date,LMT_Time,Origin,SCTS_Date,SCTS_Time,ECEF_X [m],ECEF_Y [m],ECEF_Z [m],Latitude [°],Longitude [°],Height [m],DOP,FixType,3D_Error [m],Sats,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Sat,C/N,Mort. Status,Activity,Main [V],Beacon [V],Temp [°C],Easting,Northing,AnimalID,GroupID
802,46255,5/30/2021,21:00:41,5/30/2021,9:00:41 PM,Collar,5/31/2021,5:27:15 PM,-2675215,-4424784,3722237,35.932015,-121.1570687,256.94,1.2,val. GPS-3D,,8,12,38,29,38,20,35,25,35,5,29,6,29,2,29,31,29,0,0,0,0,0,0,0,0,,,3.44,3.72,24,10666250.47,3977977.299,N/A,N/A
801,46255,5/30/2021,18:00:13,5/30/2021,6:00:13 PM,Collar,5/31/2021,5:27:15 PM,-2675275,-4424813,3722219,35.9315882,-121.1574713,291.61,1.2,val. GPS-3D,,7,12,38,19,32,28,35,14,29,6,32,2,32,15,29,0,0,0,0,0,0,0,0,0,0,,,3.44,3.72,16,10666215.03,3977929.271,N/A,N/A
800,46255,5/30/2021,15:00:40,5/30/2021,3:00:40 PM,Collar,5/31/2021,5:27:15 PM,-2675221,-4424782,3722241,35.9320368,-121.157137,260.42,1.2,val. GPS-3D,,9,7,29,19,29,15,32,17,35,14,29,13,35,30,35,28,29,1,29,0,0,0,0,0,0,,,3.42,3.72,10,10666244.26,3977979.603,N/A,N/A
799,46255,5/30/2021,12:00:40,5/30/2021,12:00:40 PM,Collar,5/31/2021,5:27:15 PM,-2675223,-4424792,3722251,35.9320591,-121.1570987,274.06,1.6,val. GPS-3D,,6,30,41,7,35,9,38,4,35,8,32,16,29,0,0,0,0,0,0,0,0,0,0,0,0,,,3.42,3.72,7,10666247.67,3977982.136,N/A,N/A
798,46255,5/30/2021,9:00:27,5/30/2021,9:00:27 AM,Collar,5/31/2021,5:27:15 PM,-2675249,-4424758,3722255,35.932171,-121.1575401,263.74,1.2,val. GPS-3D,,7,22,35,26,35,16,29,31,35,3,29,6,29,1,29,0,0,0,0,0,0,0,0,0,0,,,3.4,3.72,10,10666207.61,3977993.799,N/A,N/A
797,46255,5/30/2021,8:35:57,5/30/2021,8:35:57 AM,Collar,5/31/2021,5:27:15 PM,-2675220,-4424791,3722241,35.9319988,-121.1570759,266.24,1.2,val. GPS-3D,,8,4,38,3,32,31,32,22,38,16,29,1,29,6,29,21,29,0,0,0,0,0,0,0,0,,,3.42,3.72,10,10666249.85,3977975.492,N/A,N/A
796,46255,5/30/2021,8:05:51,5/30/2021,8:05:51 AM,Collar,5/31/2021,5:27:15 PM,-2675205,-4424804,3722231,35.9319081,-121.1568592,263.09,1.4,val. GPS-3D,,7,22,32,1,32,16,29,31,35,4,38,3,29,21,29,0,0,0,0,0,0,0,0,0,0,,,3.42,3.72,11,10666269.59,3977965.793,N/A,N/A
795,46255,5/30/2021,7:35:51,5/30/2021,7:35:51 AM,Collar,5/31/2021,5:27:15 PM,-2675216,-4424808,3722241,35.9319328,-121.1569405,276.34,1.4,val. GPS-3D,,7,22,44,21,41,1,41,3,38,31,32,32,29,26,29,0,0,0,0,0,0,0,0,0,0,,,3.42,3.72,11,10666262.2,3977968.403,N/A,N/A
794,46255,5/30/2021,7:05:50,5/30/2021,7:05:50 AM,Collar,5/31/2021,5:27:15 PM,-2675238,-4424823,3722260,35.9319434,-121.1570632,307.1,1.4,val. GPS-3D,,7,21,38,22,32,1,41,31,35,26,29,3,29,32,29,0,0,0,0,0,0,0,0,0,0,,,3.42,3.72,12,10666251.12,3977969.366,N/A,N/A
793,46255,5/30/2021,6:35:52,5/30/2021,6:35:52 AM,Collar,5/31/2021,5:27:15 PM,-2675220,-4424784,3722235,35.9319867,-121.1571161,257.87,1.4,val. GPS-3D,,8,31,38,21,38,1,41,32,29,25,29,3,32,10,29,22,29,0,0,0,0,0,0,0,0,,,3.42,3.72,12,10666246.25,3977974.081,N/A,N/A
792,46255,5/30/2021,6:05:45,5/30/2021,6:05:45 AM,Collar,5/31/2021,5:27:15 PM,-2675227,-4424797,3722249,35.9320109,-121.1571079,278.02,1.6,val. GPS-3D,,8,10,41,21,38,32,32,31,35,1,41,3,29,22,29,25,29,0,0,0,0,0,0,0,0,,,3.42,3.72,13,10666246.94,3977976.777,N/A,N/A
791,46255,5/30/2021,5:35:42,5/30/2021,5:35:42 AM,Collar,5/31/2021,5:27:15 PM,-2675218,-4424787,3722238,35.9320005,-121.1570799,260.87,1.4,val. GPS-3D,,7,22,38,10,29,21,44,31,38,32,35,1,32,8,29,0,0,0,0,0,0,0,0,0,0,,,3.44,3.72,14,10666249.49,3977975.672,N/A,N/A
